"
سعودی عرب سے پریشان کن خبر! ", 19 جنوری 2022,ریاض: سعودی عرب میں کورونا کیسز کی یومیہ تعداد مسلسل بڑھ رہی ہے۔ گزشتہ چوبیس گھنٹوں کے دوران 5 ہزار 928 نئے کیسز رپورٹ ہوئے۔
"
شہری ہوشیار! جمعے اور ہفتے کو کیا ہوگا؟ محکمہ موسمیات نے… ", 19 جنوری 2022,ریاض: سعودی محکمہ موسمیات نے شہریوں کو خبردار کیا کہ مملکت میں جمعے اور ہفتے کو ریکارڈ سری پڑے گی اور درجہ حرارت منفی سے نیچے گرجائے گا جبکہ مختلف شہروں میں بارش کا بھی امکان ہے۔
"
سعودی عرب میں آج کورونا کے کتنے کیسز رپورٹ ہوئے؟ تازہ صورت… ", 20 جنوری 2022,ریاض: سعودی عرب میں آج بھی کورونا کے زائد کیسز رپورٹ ہوئے۔ گزشتہ چوبیس گھنٹوں کے دوران وبا نے 5 ہزار 591 افراد کو متاثر کیا۔
"
حرمین شریفین میں نماز عید کی ادائیگی کیلئے بڑی شرط ختم ", 29 اپریل 2022,ریاض: سعودی عرب کی حکومت نے حرمین شریفین میں نماز عید کی ادائیگی کیلئے بڑی شرط ختم کردی ہے۔
"
امریکی صدر کا نائن الیون کی خفیہ دستاویزات سے متعلق اہم بیان ", 4 ستمبر 2021,واشنگٹن: امریکی صدر جوبائیڈن نے نائن الیون حملوں سے متعلق خفیہ دستاویزات جاری کرنے کا حکم دے دیا۔
"
سعودی عرب سے بری خبر! ", 13 جنوری 2022,ریاض: سعودی عرب میں آج بھی کورونا وائرس کے زائد کیسز رپورٹ ہوئے ہیں۔
"
سعودی عرب میں کورونا کی تازہ صورت حال جانیے ", 17 جنوری 2022,ریاض: سعودی عرب میں گزشتہ چوبیس گھنٹوں کے دوران 5 ہزار 505 کورونا کے نئے کیسز رپورٹ ہوئے ہیں۔
"
امریکا میں فوجی طیارہ گر کر تباہ ", 25 مئی 2021,لاس اینجلس: امریکا کی مغربی ریاست نیو اڈا میں لاس ویگاس کے قریب فوجی طیارہ گر کر تباہ ہوگیا۔
"
منشیات، اسلحہ اسمگلنگ کیس: صدر کے بھائی کو عمر قید کی سزا ", 31 مارچ 2021,واشنگٹن : امریکی عدالت نے منشیات اور اسلحہ اسمگلنگ کیسز میں ہونڈوراس کے صدر کے بھائی ٹونی ہرنینڈز کو عمر قید کی سزا سنا دی۔
"
ملکہ برطانیہ نے ہیری اور میگھن کی درخواست ٹھکرا دی ", 20 جنوری 2022,ملک برطانیہ الزبتھ دوئم نے اپنے پوتے شہزادہ ہیری کی اہلیہ میگھن مرکل سے شادی ہونے کے بعد ایک درخواست کو مسترد کردیا تھا۔
"
یورپین ایئرلائن نے یکم مئی سے پروازیں بحال کرنے کا اعلان… ", 25 اپریل 2020,لندن : یورپین ایئر لائن نے یکم مئی سے لندن سے پروازیں بحال کرنے کا اعلان کردیا، جہازوں کو روزانہ ڈس انفیکٹ کیا جائے گا۔
"
جرمنی میں لاک ڈاؤن میں نرمی ہوتے ہی کرونا متاثرین کی تعداد… ", 10 مئی 2020,برلن : جرمنی میں کرونا وائرس لاک ڈاؤن میں نرمی کرتے ہی کرونا مریضوں کی تعداد میں تیزی سے اضافہ ہونے لگا۔
"
یورپ میں کرونا وبا ابھی ختم نہیں ہوئی، ڈائریکٹر یورپین سینٹر… ", 13 جون 2020,برسلز : ڈائریکٹر یورپین سینٹر فار ڈیزیز کنٹرول آندریا ایمن نے کہا ہے کہ دیگر امراض میں مبتلا افراد بے احتیاطی پر کرونا کا شکار ہوسکتے۔
"
یورپ میں کورونا وائرس کی دوسری لہر سراٹھانے لگی ", 26 جون 2020,برسلز : یورپ میں جان لیوا کرونا وائرس کی نئی لہز سر اٹھانے لگی، ٹیڈ روس نے کہا کہ کرونا وائرس کی ویکسین بن بھی گئی تو اگلے سال سے پہلے دستیاب نہیں ہوگی۔
"
کرونا وائرس کیسز کی تعداد میں کمی، تھیم پارک دوبارہ کھولنے… ", 12 جولائی 2020,پیرس : کرونا وائرس کے باعث بند ہونے والے ڈزنی لینڈ کو ایک مرتبہ پھر عوام کےلیے کھولنے کا اعلان کردیا گیا۔
"
پانچ بچوں کو قتل کرکے ماں نے ٹرین کے آگے چھلانگ لگادی ", 4 ستمبر 2020,برلن : جرمنی میں 27 سالہ ماں نے نامعلوم وجوہات کی بناء پر اپنے ہی پانچ بچوں کو زہر دے کر قتل کردیا۔
"
پرنس فلپ کی آخری رسومات ونڈزر کاسل میں ادا کردی گئیں ", 17 اپریل 2021,لندن: ملکہ برطانیہ کے شوہر ڈیوک آف ایڈنبرا پرنس فلپ کی آخری رسومات ونڈزر کاسل میں ادا کردی گئیں۔
"
بغیر ڈرائیور کے چلنے والی بسیں سڑکوں پر دوڑیں گی ", 28 مئی 2021,لندن: برطانیہ میں ڈرائیور کے بغیر چلنے والی بسیں سڑکوں پر دوڑیں گی۔
"
شہزادہ ہیری کی اہلیہ میگھن مرکل نے مقدمہ جیت لیا ", 2 دسمبر 2021,لندن: برطانوی شہزادہ ہیری کی اہلیہ میگھن مرکل نے برطانوی اخبار میل آن سنڈے کے خلاف مقدمہ جیت لیا۔
"
اومیکرون کا خوف، برطانوی وزیراعظم نے بوسٹر ڈوز لگوالی ", 3 دسمبر 2021,لندن: اومیکرون ویرینٹ سے بچاؤ کے لیے برطانوی وزیراعظم بورس جانسن سے بوسٹر ڈوز لگوالی۔
"
برطانیہ کے مختلف حصوں میں خشک سالی کا اعلان ", 13 اگست 2022,برطانیہ ان دنوں شدید گرمی کی لپیٹ میں ہے اب سرکاری سطح پر ملک کے مختلف حصوں میں خشک سالی کا اعلان کردیا گیا ہے۔
"
امریکی صدر جوبائیڈن نے نیشنل گارڈز سے معذرت کرلی ", 24 جنوری 2021,واشنگٹن: امریکی نیشنل گارڈ کی کار پارکنگ میں سونے کی تصویریں سامنے آنے کے بعد امریکی صدر جوبائیڈن نے نیشنل گارڈز سے معذرت کرلی۔
"
امریکی فوج کا ہیلی کاپٹر گر کر تباہ ", 4 فروری 2021,واشنگٹن: امریکا میں ایک تربیتی پرواز کے دوران امریکی فوج کا ہیلی کاپٹر گر کر تباہ ہوگیا جس کے نتیجے میں تین فوجی پائلٹ ہلاک ہوگئے۔
"
امریکی صدر جوبائیڈن کا ایران پرعائد پابندیاں ختم کرنے سے… ", 7 فروری 2021,واشنگٹن: امریکی صدر جوبائیڈن نے ایران پر عائد امریکی پابندیاں ختم کرنے سے انکار کردیا۔
